Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate
2014-11-12,156,188,40.96,,,
2014-11-13,150,177,43.5,,,
2014-11-14,155,186,49.46,,,
2014-11-15,70,74,50.0,,,
2014-11-16,115,142,38.03,,,
2014-11-17,214,273,49.45,,,
2014-11-18,210,257,46.3,,,
2014-11-19,205,240,43.75,,,
2014-11-20,208,255,47.45,,,
2014-11-21,151,179,48.04,,,
2014-11-22,47,56,37.5,,,
2014-11-23,58,69,36.23,,,
2014-11-24,162,200,45.0,,,
2014-11-25,148,167,53.29,,,
2014-11-26,115,131,46.56,,,
2014-11-27,43,47,46.81,,,
2014-11-28,40,47,55.32,,,
2014-11-29,55,62,56.45,,,
2014-11-30,70,74,52.7,,,
2014-12-01,137,170,36.47,,,
2014-12-02,163,206,49.51,,,
2014-12-03,150,191,42.41,,,
2014-12-04,173,216,44.91,,,
2014-12-05,125,159,42.77,,,
2014-12-06,50,53,49.06,,,
2014-12-07,53,59,52.54,,,
2014-12-08,186,216,42.59,,,
2014-12-09,144,182,40.66,,,
2014-12-10,154,177,49.72,,,
2014-12-11,149,194,50.52,,,
2014-12-12,113,132,53.03,,,
2014-12-13,55,65,50.77,,,
2014-12-14,60,68,50.0,,,
2014-12-15,170,201,51.74,,,
2014-12-16,164,201,44.78,,,
2014-12-17,164,193,44.56,,,
2014-12-18,187,229,41.48,,,
2014-12-19,137,159,49.06,,,
2014-12-20,37,40,52.5,,,
2014-12-21,50,60,61.67,,,
2014-12-22,128,137,50.36,,,
2014-12-23,104,116,56.9,,,
2014-12-24,77,83,44.58,,,
2014-12-25,23,24,54.17,,,
2014-12-26,61,73,47.95,,,
2014-12-27,31,35,45.71,,,
2014-12-28,43,54,42.59,,,
2014-12-29,109,127,48.03,,,
2014-12-30,88,114,50.88,,,
2014-12-31,66,73,49.32,,,
2015-01-01,35,39,58.97,,,
2015-01-02,80,86,54.65,,,
2015-01-03,45,49,63.27,,,
2015-01-04,53,61,40.98,,,
2015-01-05,160,196,54.08,,,
2015-01-06,209,242,52.48,,,
2015-01-07,207,270,52.59,,,
2015-01-08,171,200,51.5,,,
2015-01-09,138,171,49.71,,,
2015-01-10,59,71,74.65,,,
2015-01-11,72,79,60.76,,,
2015-01-12,200,253,46.64,,,
2015-01-13,214,251,49.0,,,
2015-01-14,201,253,49.8,,,
2015-01-15,194,226,46.9,,,
2015-01-16,181,209,45.93,,,
2015-01-17,61,67,58.21,,,
2015-01-18,88,110,55.45,,,
2015-01-19,120,136,61.76,,,
2015-01-20,234,284,51.06,,,
2015-01-21,187,226,47.79,,,
2015-01-22,282,312,54.81,,,
2015-01-23,185,240,49.58,,,
2015-01-24,70,79,56.96,,,
2015-01-25,77,93,65.59,,,
2015-01-26,214,282,49.65,,,
2015-01-27,225,290,53.1,,,
2015-01-28,210,245,50.2,,,
2015-01-29,236,278,50.72,,,
2015-01-30,171,214,49.07,,,
2015-01-31,65,72,62.5,,,
2015-02-01,66,74,68.92,,,
2015-02-02,217,266,48.12,,,
2015-02-03,211,264,51.89,,,
2015-02-04,212,258,50.78,,,
2015-02-05,211,245,46.94,,,
2015-02-06,183,218,51.83,,,
2015-02-07,70,86,52.33,,,
2015-02-08,108,131,52.67,,,
2015-02-09,211,263,57.03,,,
2015-02-10,206,236,50.42,,,
2015-02-11,222,272,51.84,,,
2015-02-12,221,267,56.18,,,
2015-02-13,147,181,59.67,,,
2015-02-14,68,74,62.16,,,
2015-02-15,102,113,63.72,,,
2015-02-16,162,193,58.55,,,
2015-02-17,251,298,43.29,,,
2015-02-18,248,303,49.17,,,
2015-02-19,228,291,48.8,,,
2015-02-20,165,198,44.95,,,
2015-02-21,81,90,56.67,,,
2015-02-22,80,95,58.95,,,
2015-02-23,214,242,54.55,,,
2015-02-24,231,268,49.25,,,
2015-02-25,205,231,54.98,,,
2015-02-26,147,173,47.4,,,
2015-02-27,34,38,52.63,,,
2015-02-28,20,23,69.57,,,
2015-03-01,10,10,70.0,,,
2015-03-02,26,36,36.11,,,
2015-03-03,36,36,61.11,,,
2015-03-04,109,119,12.6,,,
2015-03-05,307,372,4.3,,,
2015-03-06,212,240,5.42,,,
2015-03-07,108,117,0.0,,,
2015-03-08,96,115,3.48,,,
2015-03-09,269,328,3.66,,,
2015-03-10,290,334,6.29,,,
2015-03-11,310,361,6.09,,,
2015-03-12,256,288,5.21,,,
2015-03-13,284,329,3.04,,,
2015-03-14,151,179,3.91,,,
2015-03-15,128,143,2.1,,,
2015-03-16,323,371,3.77,,,
2015-03-17,266,295,4.41,,,
2015-03-18,277,331,6.65,,,
2015-03-19,248,277,8.3,,,
2015-03-20,187,224,6.25,,,
2015-03-21,77,85,3.53,,,
2015-03-22,126,140,2.86,,,
2015-03-23,286,325,0.92,,,
2015-03-24,288,349,4.3,,,
2015-03-25,305,346,2.02,,,
2015-03-26,280,326,4.91,,,
2015-03-27,255,286,3.15,,,
2015-03-28,86,95,2.11,,,
2015-03-29,140,153,1.96,,,
2015-03-30,362,407,2.46,,,
2015-03-31,302,345,5.8,,,
2015-04-01,282,325,6.77,,,
2015-04-02,248,289,5.19,,,
2015-04-03,232,261,8.05,,,
2015-04-04,96,110,4.55,,,
2015-04-05,100,107,6.54,,,
2015-04-06,292,336,4.46,,,
2015-04-07,318,385,7.79,,,
2015-04-08,688,848,24.29,,,
2015-04-09,613,705,21.84,,,
2015-04-10,596,688,17.3,,,
2015-04-11,181,200,20.0,,,
2015-04-12,191,214,14.02,,,
2015-04-13,464,527,17.84,,,
2015-04-14,477,549,15.12,,,
2015-04-15,446,520,9.62,,,
2015-04-16,542,613,9.3,,,
2015-04-17,449,501,6.99,,,
2015-04-18,170,184,4.89,,,
2015-04-19,195,202,6.93,,,
2015-04-20,504,598,7.69,,,
2015-04-21,563,628,8.76,,,
